"part_id","hh_id","part_age","part_gender"
"A8_10259","HHA8_10259","40-49","F"
"F9_600941","HHF9_600941","40-49","F"
"F9_600942","HHF9_600942","50-59","F"
"F9_600943","HHF9_600943","18-29","M"
"F9_600944","HHF9_600944","50-59","F"
"F9_600945","HHF9_600945","60-69","F"
"F9_600946","HHF9_600946","40-49","M"
"F9_600947","HHF9_600947","5-11","M"
"F9_600949","HHF9_600949","50-59","M"
"F9_600953","HHF9_600953","70-120","M"
"F9_600955","HHF9_600955","30-39","F"
"A1_11004","HHA1_11004","50-59","F"
"A8_10260","HHA8_10260","40-49","M"
"F9_600956","HHF9_600956","5-11","F"
"F9_600961","HHF9_600961","18-29","F"
"F9_600967","HHF9_600967","50-59","F"
"F9_600971","HHF9_600971","30-39","F"
"F9_600972","HHF9_600972","40-49","F"
"F9_600976","HHF9_600976","12-17","M"
"F9_600978","HHF9_600978","60-69","F"
"F9_600990","HHF9_600990","40-49","M"
"F9_600991","HHF9_600991","60-69","M"
"F9_600995","HHF9_600995","18-29","F"
"A8_10261","HHA8_10261","40-49","F"
"F9_601003","HHF9_601003","40-49","M"
"F9_601007","HHF9_601007","40-49","M"
"F9_601011","HHF9_601011","50-59","F"
"F9_601012","HHF9_601012","40-49","M"
"F9_601013","HHF9_601013","50-59","F"
"F9_601014","HHF9_601014","60-69","M"
"F9_601016","HHF9_601016","5-11","F"
"F9_601017","HHF9_601017","60-69","M"
"F9_601018","HHF9_601018","40-49","M"
"F9_601028","HHF9_601028","70-120","F"
"A8_10262","HHA8_10262","60-69","M"
"F9_601029","HHF9_601029","70-120","F"
"F9_601035","HHF9_601035","50-59","F"
"F9_601036","HHF9_601036","60-69","M"
"F9_601047","HHF9_601047","5-11","F"
"F9_601048","HHF9_601048","18-29","M"
"F9_601050","HHF9_601050","70-120","M"
"F9_601054","HHF9_601054","60-69","M"
"F9_601060","HHF9_601060","5-11","F"
"F9_601063","HHF9_601063","30-39","F"
"F9_601064","HHF9_601064","60-69","F"
"A8_10264","HHA8_10264","40-49","M"
"F9_601065","HHF9_601065",NA,"F"
"F9_601067","HHF9_601067","40-49","M"
"F9_601068","HHF9_601068","18-29","F"
"F9_601077","HHF9_601077","30-39","M"
"F9_601078","HHF9_601078","50-59","M"
"F9_601088","HHF9_601088","18-29","F"
"F9_601090","HHF9_601090","70-120","M"
"F9_601094","HHF9_601094","40-49","F"
"F9_601097","HHF9_601097","40-49","M"
"F9_601102","HHF9_601102","60-69","F"
"A8_10265","HHA8_10265","60-69","F"
"F9_601104","HHF9_601104","30-39","F"
"F9_601106","HHF9_601106","18-29","M"
"F9_601108","HHF9_601108","40-49","M"
"F9_601112","HHF9_601112",NA,"F"
"F9_601117","HHF9_601117","30-39","M"
"F9_601120","HHF9_601120","0-4","F"
"F9_601125","HHF9_601125","50-59","F"
"F9_601127","HHF9_601127","40-49","M"
"F9_601135","HHF9_601135","18-29","M"
"F9_601138","HHF9_601138","12-17","M"
"A8_10266","HHA8_10266","60-69","F"
"F9_601142","HHF9_601142","30-39","M"
"F9_601145","HHF9_601145","40-49","F"
"F9_601149","HHF9_601149","18-29","M"
"F9_601153","HHF9_601153","30-39","F"
"F9_601154","HHF9_601154","50-59","F"
"F9_601157","HHF9_601157","40-49","F"
"F9_601160","HHF9_601160","30-39","M"
"F9_601170","HHF9_601170","0-4","M"
"F9_601174","HHF9_601174","40-49","F"
"F9_601177","HHF9_601177","40-49","M"
"A8_10267","HHA8_10267","60-69","F"
"F9_601178","HHF9_601178","5-11","F"
"F9_601186","HHF9_601186","40-49","F"
"F9_601188","HHF9_601188","12-17","F"
"F9_601196","HHF9_601196","18-29","F"
"F9_601199","HHF9_601199","40-49","M"
"F9_601200","HHF9_601200","40-49","M"
"F9_601202","HHF9_601202","50-59","F"
"F9_601205","HHF9_601205","50-59","M"
"F9_601212","HHF9_601212","50-59","F"
"F9_601213","HHF9_601213","18-29","F"
"A8_10268","HHA8_10268","50-59","M"
"F9_601223","HHF9_601223","40-49","F"
"F9_601225","HHF9_601225","40-49","M"
"F9_601226","HHF9_601226","12-17","M"
"F9_601229","HHF9_601229","30-39","F"
"F9_601231","HHF9_601231","30-39","F"
"F9_601234","HHF9_601234","5-11","F"
"F9_601236","HHF9_601236","12-17","M"
"F9_601240","HHF9_601240","70-120","F"
"F9_601245","HHF9_601245","60-69","M"
"F9_601246","HHF9_601246","60-69","M"
"A8_10270","HHA8_10270","40-49","F"
"F9_601247","HHF9_601247","18-29","M"
"F9_601261","HHF9_601261","12-17","F"
"F9_601264","HHF9_601264","50-59","F"
"F9_601268","HHF9_601268","5-11","F"
"F9_601269","HHF9_601269","0-4","F"
"F9_601271","HHF9_601271","5-11","M"
"F9_601272","HHF9_601272","50-59","M"
"F9_601276","HHF9_601276","40-49","F"
"F9_601277","HHF9_601277","30-39","M"
"F9_601278","HHF9_601278","40-49","F"
"A8_10271","HHA8_10271","18-29","M"
"F9_601279","HHF9_601279","30-39","F"
"F9_601282","HHF9_601282","40-49","M"
"F9_601284","HHF9_601284","12-17","M"
"F9_601288","HHF9_601288","30-39","F"
"F9_601289","HHF9_601289","40-49","M"
"F9_601291","HHF9_601291","18-29","F"
"F9_601293","HHF9_601293","18-29","M"
"F9_601294","HHF9_601294","12-17","M"
"F9_601298","HHF9_601298","50-59","M"
"F9_601300","HHF9_601300","70-120","F"
"A1_11005","HHA1_11005","50-59","M"
"A8_10272","HHA8_10272","50-59","F"
"F9_601301","HHF9_601301","5-11","M"
"F9_601303","HHF9_601303","40-49","M"
"F9_601305","HHF9_601305","60-69","M"
"F9_601307","HHF9_601307","60-69","M"
"F9_601315","HHF9_601315","12-17","F"
"F9_601317","HHF9_601317","5-11","F"
"F9_601318","HHF9_601318","5-11","F"
"F9_601320","HHF9_601320","50-59","M"
"F9_601321","HHF9_601321","40-49","M"
"F9_601333","HHF9_601333","70-120","M"
"A8_10273","HHA8_10273","40-49","F"
